"chemical_id","logOR","ci.lb","ci.ub","pval","k","n"
"PFOS",0.0611189572767422,0.0181791291314554,0.104058785422029,0.00644470502726539,40,22
"PFUnDA",-0.0623258874626301,-0.212800968226295,0.0881491933010349,0.367477081504801,9,8
"PFOA",0.0732109377583895,0.0188982327617248,0.127523642755054,0.00968895477287644,36,21
"PFNA",0.0298924832303542,-0.0249521608569724,0.0847371273176807,0.27632321564177,37,21
"PFHxS",0.0633022485555387,-0.00792184999082585,0.134526347101903,0.0798408902908744,37,21
"PFDA",-0.0068221180228333,-0.086519250266967,0.0728750142213005,0.859705697638547,20,11
"PFOSA-AcOH",NA,NA,NA,NA,1,1
"PFHpA",-0.00972052281570454,-0.122441766717557,0.103000721086148,0.822542605141154,5,4
"PFAS",0.0226967208038012,-0.135270421673646,0.180663863281248,0.759615314665132,13,2
"PFBS",NA,NA,NA,NA,1,1
"PFDoDA",-0.0873007332049771,-0.542201446228263,0.367599979818309,0.622375805731112,5,3
"PFTrDA",NA,NA,NA,NA,1,1
"PFHpS",NA,NA,NA,NA,1,1
